,Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20
0,Anhui,Mainland China,31.8257,117.2264,1,8.0,6.0,24.0,21.0,10.0,36.0,46.0,48.0,37.0,60.0,43.0,68.0,72.0,50.0,61.0,74.0,68.0,46.0,51.0,30.0,29.0,21.0,24.0,16.0,12.0,11.0,9.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Beijing,Mainland China,40.1824,116.4142,14,8.0,14.0,5.0,27.0,12.0,11.0,20.0,3.0,25.0,29.0,23.0,21.0,16.0,25.0,21.0,23.0,18.0,11.0,11.0,5.0,10.0,14.0,6.0,3.0,5.0,1.0,6.0,6.0,2.0,1.0,3.0,0.0,0.0,1.0,0.0,10.0,0.0,1.0,2.0,1.0,0.0,4.0,0.0,4.0,4.0,2.0,0.0
2,Chongqing,Mainland China,30.0572,107.874,6,3.0,18.0,30.0,18.0,35.0,22.0,15.0,35.0,29.0,36.0,53.0,37.0,29.0,23.0,22.0,15.0,2.0,40.0,18.0,19.0,13.0,11.0,8.0,7.0,7.0,2.0,2.0,5.0,7.0,5.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Fujian,Mainland China,26.0789,117.9874,1,4.0,5.0,8.0,17.0,24.0,21.0,4.0,17.0,19.0,24.0,15.0,20.0,15.0,11.0,10.0,9.0,15.0,11.0,11.0,6.0,5.0,7.0,2.0,4.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Gansu,Mainland China,36.0611,103.8343,0,2.0,0.0,2.0,3.0,7.0,5.0,5.0,2.0,3.0,11.0,11.0,4.0,2.0,5.0,0.0,5.0,12.0,4.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,17.0,1.0,4.0,0.0
5,Guangdong,Mainland China,23.3417,113.4244,26,6.0,21.0,25.0,33.0,40.0,56.0,70.0,77.0,82.0,99.0,97.0,93.0,88.0,82.0,75.0,64.0,61.0,36.0,28.0,18.0,42.0,22.0,20.0,33.0,22.0,6.0,6.0,3.0,1.0,1.0,6.0,3.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
6,Guangxi,Mainland China,23.8298,108.7881,2,3.0,18.0,0.0,13.0,10.0,5.0,7.0,20.0,9.0,13.0,11.0,16.0,12.0,11.0,18.0,4.0,11.0,12.0,15.0,5.0,7.0,0.0,4.0,9.0,2.0,1.0,4.0,2.0,1.0,1.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Guizhou,Mainland China,26.8154,106.8748,1,2.0,0.0,1.0,1.0,2.0,2.0,0.0,3.0,17.0,0.0,9.0,8.0,12.0,6.0,7.0,10.0,8.0,10.0,10.0,18.0,6.0,2.0,5.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Hainan,Mainland China,19.1959,109.7453,4,1.0,3.0,11.0,3.0,11.0,7.0,3.0,3.0,6.0,10.0,2.0,8.0,8.0,19.0,7.0,11.0,7.0,7.0,7.0,6.0,13.0,0.0,2.0,3.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Hebei,Mainland China,38.0428,114.5149,1,0.0,1.0,6.0,5.0,5.0,15.0,15.0,17.0,17.0,14.0,8.0,9.0,13.0,9.0,22.0,15.0,23.0,11.0,12.0,21.0,12.0,14.0,18.0,8.0,9.0,1.0,5.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Heilongjiang,Mainland China,47.861999999999995,127.7615,0,2.0,2.0,5.0,6.0,6.0,12.0,5.0,6.0,15.0,21.0,15.0,26.0,34.0,35.0,37.0,50.0,18.0,12.0,24.0,29.0,18.0,17.0,24.0,6.0,20.0,12.0,7.0,6.0,6.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11,Henan,Mainland China,33.882020000000004,113.61399999999999,5,0.0,4.0,23.0,51.0,45.0,40.0,38.0,72.0,74.0,70.0,71.0,73.0,109.0,89.0,87.0,63.0,67.0,52.0,40.0,32.0,30.0,34.0,15.0,28.0,19.0,15.0,11.0,5.0,3.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Hubei,Mainland China,30.9756,112.2707,444,0.0,105.0,212.0,297.0,365.0,2131.0,0.0,1349.0,903.0,1347.0,4024.0,2345.0,3156.0,2987.0,2447.0,2841.0,2147.0,2531.0,2097.0,1638.0,0.0,14840.0,6200.0,1843.0,1933.0,1807.0,1693.0,349.0,411.0,220.0,1422.0,0.0,203.0,499.0,401.0,409.0,318.0,423.0,570.0,196.0,114.0,115.0,134.0,126.0,74.0,41.0,36.0
13,Hunan,Mainland China,27.6104,111.7088,4,5.0,15.0,19.0,26.0,31.0,43.0,78.0,56.0,55.0,57.0,74.0,58.0,72.0,68.0,50.0,61.0,31.0,35.0,41.0,33.0,34.0,22.0,20.0,13.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Inner Mongolia,Mainland China,44.0935,113.9448,0,0.0,1.0,6.0,0.0,4.0,4.0,1.0,3.0,1.0,3.0,4.0,7.0,1.0,7.0,4.0,4.0,2.0,2.0,4.0,0.0,2.0,1.0,4.0,3.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Jiangsu,Mainland China,32.9711,119.455,1,4.0,4.0,9.0,15.0,14.0,23.0,29.0,30.0,39.0,34.0,34.0,35.0,37.0,33.0,32.0,35.0,31.0,29.0,24.0,23.0,28.0,27.0,23.0,11.0,13.0,9.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Jiangxi,Mainland China,27.614,115.7221,2,5.0,11.0,0.0,18.0,36.0,37.0,0.0,53.0,78.0,46.0,47.0,58.0,85.0,72.0,52.0,61.0,37.0,42.0,31.0,33.0,40.0,28.0,28.0,13.0,12.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Jilin,Mainland China,43.6661,126.1923,0,1.0,2.0,1.0,0.0,2.0,2.0,1.0,5.0,0.0,3.0,6.0,8.0,11.0,12.0,5.0,6.0,4.0,9.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Liaoning,Mainland China,41.2956,122.6085,2,1.0,1.0,13.0,4.0,6.0,7.0,5.0,2.0,7.0,16.0,6.0,4.0,7.0,8.0,5.0,5.0,6.0,2.0,1.0,3.0,5.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Ningxia,Mainland China,37.2692,106.1655,1,0.0,1.0,1.0,1.0,3.0,4.0,1.0,5.0,4.0,5.0,2.0,3.0,3.0,0.0,6.0,3.0,2.0,0.0,4.0,4.0,5.0,6.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20,Qinghai,Mainland China,35.7452,95.9956,0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Shaanxi,Mainland China,35.1917,108.8701,0,3.0,2.0,10.0,7.0,13.0,11.0,10.0,7.0,24.0,14.0,15.0,12.0,14.0,23.0,8.0,11.0,11.0,13.0,5.0,6.0,6.0,4.0,1.0,2.0,4.0,4.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Shandong,Mainland China,36.3427,118.1498,2,4.0,9.0,12.0,19.0,29.0,20.0,35.0,28.0,26.0,22.0,24.0,29.0,16.0,32.0,40.0,39.0,30.0,28.0,22.0,21.0,10.0,12.0,14.0,9.0,5.0,4.0,2.0,1.0,2.0,203.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Shanghai,Mainland China,31.201999999999998,121.4491,9,7.0,4.0,13.0,7.0,13.0,13.0,30.0,16.0,23.0,34.0,13.0,21.0,16.0,24.0,14.0,20.0,9.0,7.0,6.0,4.0,8.0,4.0,3.0,8.0,2.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0
24,Shanxi,Mainland China,37.5777,112.2922,1,0.0,0.0,5.0,3.0,4.0,14.0,0.0,8.0,4.0,8.0,19.0,8.0,7.0,0.0,15.0,8.0,11.0,4.0,0.0,5.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Sichuan,Mainland China,30.6171,102.7103,5,3.0,7.0,13.0,16.0,25.0,21.0,18.0,34.0,35.0,30.0,24.0,23.0,28.0,19.0,20.0,23.0,20.0,22.0,19.0,12.0,19.0,15.0,12.0,7.0,11.0,14.0,13.0,6.0,6.0,5.0,1.0,0.0,1.0,2.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26,Tianjin,Mainland China,39.3054,117.323,4,0.0,4.0,2.0,4.0,9.0,1.0,3.0,4.0,1.0,9.0,7.0,12.0,7.0,2.0,10.0,2.0,7.0,3.0,4.0,11.0,6.0,7.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Tibet,Mainland China,31.6927,88.0924,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Xinjiang,Mainland China,41.1129,85.2401,0,2.0,0.0,1.0,1.0,1.0,5.0,3.0,1.0,3.0,1.0,3.0,3.0,5.0,3.0,4.0,3.0,3.0,3.0,4.0,6.0,4.0,4.0,2.0,5.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Yunnan,Mainland China,24.974,101.48700000000001,1,1.0,3.0,6.0,5.0,10.0,18.0,11.0,15.0,13.0,10.0,12.0,12.0,5.0,6.0,5.0,5.0,0.0,3.0,8.0,4.0,1.0,2.0,6.0,6.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Zhejiang,Mainland China,29.1832,120.0934,10,17.0,16.0,19.0,42.0,24.0,45.0,123.0,132.0,110.0,61.0,62.0,63.0,105.0,66.0,59.0,52.0,42.0,27.0,17.0,25.0,14.0,14.0,10.0,7.0,5.0,4.0,1.0,2.0,1.0,28.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0
31,,Thailand,15.0,101.0,2,1.0,2.0,2.0,1.0,0.0,6.0,0.0,0.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0
32,,Japan,36.0,138.0,2,-1.0,1.0,0.0,2.0,0.0,3.0,0.0,4.0,4.0,5.0,0.0,0.0,2.0,0.0,23.0,-20.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,14.0,16.0,7.0,8.0,10.0,10.0,11.0,17.0,25.0,12.0,11.0,19.0,25.0,14.0,13.0,15.0,18.0,19.0,38.0,29.0,60.0,41.0,41.0,9.0
33,,South Korea,36.0,128.0,1,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,1.0,3.0,0.0,1.0,3.0,4.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,73.0,100.0,229.0,169.0,231.0,144.0,284.0,505.0,571.0,813.0,586.0,599.0,851.0,435.0,467.0,505.0,448.0,273.0,164.0
34,Taiwan,Taiwan,23.7,121.0,1,0.0,2.0,0.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,2.0,5.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0
35,"King County, WA",US,47.6062,-122.3321,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,5.0,7.0,10.0,20.0,7.0,13.0,12.0,0.0
36,"Cook County, IL",US,41.7377,-87.6976,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
37,Macau,Macau,22.1667,113.55,1,1.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Hong Kong,Hong Kong,22.3,114.2,0,2.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,2.0,4.0,3.0,1.0,1.0,3.0,9.0,11.0,1.0,3.0,3.0,0.0,1.0,3.0,2.0,1.0,5.0,0.0,1.0,5.0,5.0,5.0,7.0,1.0,2.0,1.0,1.0,4.0,0.0,5.0,0.0,2.0,1.0,6.0,1.0
39,,Singapore,1.2833,103.8333,0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,3.0,3.0,3.0,2.0,0.0,6.0,4.0,0.0,2.0,3.0,7.0,5.0,2.0,3.0,8.0,9.0,5.0,3.0,2.0,4.0,3.0,0.0,1.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0,9.0,4.0,2.0,2.0,0.0,7.0,13.0,8.0,12.0,0.0
40,,Vietnam,16.0,108.0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0
41,,France,47.0,2.0,0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,20.0,19.0,43.0,30.0,61.0,13.0,81.0,92.0,276.0,296.0,177.0,83.0
42,,Nepal,28.1667,84.25,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,,Malaysia,2.5,112.5,0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,0.0,7.0,14.0,0.0,33.0,10.0,6.0,18.0
44,British Columbia,Canada,49.2827,-123.1207,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,8.0,0.0,6.0,5.0
45,"Los Angeles, CA",US,34.0522,-118.2437,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,2.0,1.0,0.0,0.0
46,New South Wales,Australia,-33.8688,151.2093,0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,9.0,0.0,4.0,2.0,10.0,10.0
47,Victoria,Australia,-37.8136,144.9631,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0
48,Queensland,Australia,-28.0167,153.4,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,-1.0,1.0,-1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0
